name,title,date,review_text
The Apurva Kempinski Bali,A Moment (Wedding) To Remember,10/01/2021,"This place is always so comfy and cozy. With its luxury interior and a touch of Balinese feel on the exterior, you will feel that you are in paradise. I had my wedding here in Apurva and kudos to the team. They are very professional, warm and I feel that I am in good hands. Shout out especially to Ros for always catering to our needs. I always have low expectation on Hotel food but the food they serve here exceeds my expectation. Very delicious indeed. As for the spa, it is so Zen and peaceful. Very relaxing and definitely took my mind off from the stressful life and took the fatigue away. Great place to just relax, or even have a great event in this amazing place. Definitely coming back for more :)"
The Apurva Kempinski Bali,Nice hotel but the service could be better,10/01/2021,"We stayed at Apurva Kempinski for 2 nights for our honeymoon. Room was good and clean. The hotel has a lot of instagramable spots. We tried dinner at Bai Yun restaurant (the food and the service were really good) & breakfast at reef restaurant. Unfortunately we feel the Covid-19 protocol during breakfast could be better, while they let the staffs help with taking your food they combine all the guests inside one restaurant without social distancing so it was pretty cramped. We also had problems with the service such as luggage delivery & room assistance being slow and the showerhead in our room fell off, but the manager Steffi already managed & assisted us in solving our problems so we're left pretty satisfied with how the problems were handled."
The Apurva Kempinski Bali,The Wedding,10/01/2021,"The Best Service from Ms. Deviana Ros n Ms. Elsa Sangat bertanggung jawab terhadap kita dan cepat tanggap dlm handle kita. Very Good lah to Ms. Deviana Ros, semua urusan beliau cepat handle, berpengalaman🙏"
The Apurva Kempinski Bali,Sangat menyenangkan,10/01/2021,"Kamarnya bagus dan bersih Staff hotel ramah dan sangat membantu. Tidak ribet. Peraturan hotel tidak kaku jd bikin nyaman. Luas bangettttt 14 hektar. Karna luas lift nya jd agak bingungin awal nya tapi hari berikutnya ud hafal. Kalau buat yg suka stay di hotel ga mau kemana2 pasti ngerasain nyaman banget banyak tempat hotel yg di explore. Tapi kalau yg suka jalan2 keluar, hotel cuman buat tidur saja kurang cocok karna lokasi agak jauh dari Kuta Seminyak."
The Apurva Kempinski Bali,Great hotel with superb facilities,09/01/2021,"We booked both suite and deluxe room. Both rooms were well maintained. Beware, the hotel area is very big. Be prepared to walk a lot to get around the hotel. They provide buggy tho. The staff were very friendly, courteous and helpful too. Kids playground is great. We asked for baby crib and they provided some basic amenities for baby too. It will be one of our preferred hotel to stay in Bali and would definitely recommend it to others too"
The Apurva Kempinski Bali,wonderful experience,10/01/2021,"I had a wonderful experience here. Every staff member I encountered were delightful and eager to help. The sevice was exceptional as well. Looking forward to my next stay, will recommend to friends as well."
The Apurva Kempinski Bali,Excellent Service,10/01/2021,"Dari awal masuk, proses check in, menunggu jam check in sampai pengantaran ke room pelayannannya super baik dan ramah. Sambil dijelaskan banyak fasitilas yang digunakan. Fasilitas cukup banyak, makanan enak, kamar luass.. Will soon back here again."
The Apurva Kempinski Bali,Nice hotel,10/01/2021,"This is my second stay in this hotel, first time was 2 years ago with my family. This time I came with my husband and we tries the cliff private pool ocean suite. I am a little disappointed with the room, I got the one on 11th floor and the room is next to the alley of the lift, so everybody going to and from the lift can see the room, especially the pool and the bathup very clear. Even there’s one time a security guard walk pass by and wave at me while I’m in the pool. I think there’s no privacy at all, and the bathup with the ocean view is a waste because we cannot open the curtain. However, everything else about this hotel is very nice. The hotel staff are all very polite, nice, and friendly. You should try the restaurant especially Bai Yun and Izakaya, the food is very…"
The Apurva Kempinski Bali,Good experince,10/01/2021,"This is the best villa lounge ever, amazing atmosphere, good food and cleanliness, staffs also so explainable any information and thank you to the staff mbak Fitri to helpful us. We will back soon!!!!"
The Apurva Kempinski Bali,A better experience than before,09/01/2021,"This is our 3rd visit in a year. And the last one is the better experience than before. All staffs are so helpfull and always greeted us when we passed by. Please send my regards to Mr. Irawan in Front Desk for helping me get the best view room (I think the hotel reaches 60% Occupancy and I requested it when I'm checking in, btw). He also noticed that i have a son and send a little gift to him. In our stay, we also have a dinner in Bai Yun (Chinese) Restaurant. I think this is the best Hot Pot restaurant in Bali right now. Definitely will be back again :) If you are looking for a famliy friendly hotel, The Apurva Kempinski Bali should be in the top of the list. Thank you apurva kempinski bali!"
